name,rarity,price,p_ActionSpeed,p_Agility,p_ArmorPenetration,p_ArmorRating,p_ArmorRatingAdd,p_BuffDurationBonus,p_Dexterity,p_HeadshotReductionMod,p_Knowledge,p_Luck,p_MagicPenetration,p_MagicRegistance,p_MagicalDamage,p_MagicalDamageBonus,p_MagicalDamageReduction,p_MagicalDamageTrue,p_MagicalHealing,p_MagicalPower,p_MagicalWeaponDamage,p_MaxHealthAdd,p_MaxHealthBonus,p_MoveSpeed,p_MoveSpeedBonus,p_PhysicalDamageTrue,p_PhysicalPower,p_PhysicalWeaponDamage,p_PhysicalWeaponDamageAdd,p_ProjectileReductionMod,p_RegularInteractionSpeed,p_Resourcefulness,p_Strength,p_UndeadDamageMod,p_Vigor,p_Will,s_ActionSpeed,s_Agility,s_ArmorPenetration,s_ArmorRatingAdd,s_BuffDurationBonus,s_DebuffDurationBonus,s_Dexterity,s_Knowledge,s_Luck,s_MagicPenetration,s_MagicRegistance,s_MagicalDamageAdd,s_MagicalDamageBonus,s_MagicalDamageReduction,s_MagicalDamageTrue,s_MagicalHealing,s_MagicalPower,s_MaxHealthAdd,s_MaxHealthBonus,s_MemoryCapacityAdd,s_MemoryCapacityBonus,s_MoveSpeedAdd,s_MoveSpeedBonus,s_PhysicalDamageAdd,s_PhysicalDamageBonus,s_PhysicalDamageReduction,s_PhysicalDamageTrue,s_PhysicalHealing,s_PhysicalPower,s_PhysicalWeaponDamageAdd,s_Primitive,s_ProjectileReductionMod,s_Resourcefulness,s_SpellCastingSpeed,s_Strength,s_Vigor,s_Will
LeatherGloves,Epic,99,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AdventurerBoots,Legendary,899,0,0,0,22,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
RegalGambeson,Rare,80,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RivetedGloves,Uncommon,69,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeatherChausses,Uncommon,198,0,0,0,24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LooseTrousers,Rare,222,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BarbutaHelm,Legendary,700,0,0,0,28,0,0,6,150,0,0,0,30,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0
NorthernFullTunic,Rare,833,0,2,0,77,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
AdventurerBoots,Epic,150,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,11,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoubleAxe,Epic,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
DemonsGlee,Epic,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-15,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0
ReinforcedGloves,Epic,388,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RingOfVitality,Epic,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FrostlightTrousers,Epic,1111,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Buckler,Epic,80,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RingOfResolve,Rare,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
